date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:49	26793/26793	U-----	200	untouched ('OK')	text/html	etag:%22420dc5fa-68a9-4c7abe13c40c0%22	http://www.memobio.fr/html/bact/ba_ba_bhe.html	www.memobio.fr/ba_ba_bhe.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:49	22870/22870	U-----	200	untouched ('OK')	text/html	etag:%22420dd620-5956-4c7abe14b8300%22	http://www.memobio.fr/html/bact/ba_ba_coan.html	www.memobio.fr/ba_ba_coan.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:49	22929/22929	U-----	200	untouched ('OK')	text/html	etag:%22420dc5f9-5991-4c7abe12cfe80%22	http://www.memobio.fr/html/bact/ba_ba_bgpa.html	www.memobio.fr/ba_ba_bgpa.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:49	28269/28269	U-----	200	untouched ('OK')	text/html	etag:%22420dc5ff-6e6d-4c7abe14b8300%22	http://www.memobio.fr/html/bact/ba_ba_clo.html	www.memobio.fr/ba_ba_clo.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:49	22935/22935	U-----	200	untouched ('OK')	text/html	etag:%22420dc5f7-5997-4c7abe12cfe80%22	http://www.memobio.fr/html/bact/ba_ba_bgna.html	www.memobio.fr/ba_ba_bgna.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:49	27791/27791	U-----	200	untouched ('OK')	text/html	etag:%22420dd65f-6c8f-4c7abe13c40c0%22	http://www.memobio.fr/html/bact/ba_ba_chl.html	www.memobio.fr/ba_ba_chl.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:49	29372/29372	U-----	200	untouched ('OK')	text/html	etag:%22420dd647-72bc-4c7abe16a0780%22	http://www.memobio.fr/html/bact/ba_ba_myc.html	www.memobio.fr/ba_ba_myc.html	(from http://www.memobio.fr/html/bact/ba_bact.html)
09:24:49	21289/21289	U-----	200	untouched ('OK')	text/html	etag:%22420dc5f3-5329-4c7abe1a71080%22	http://www.memobio.fr/html/bact/ba_pr_cbu.html	www.memobio.fr/ba_pr_cbu.html	(from http://www.memobio.fr/html/bact/ba_prel.html)
09:24:49	22797/22797	U-----	200	untouched ('OK')	text/html	etag:%22420dd63f-590d-4c7abe1a71080%22	http://www.memobio.fr/html/bact/ba_pr_cop.html	www.memobio.fr/ba_pr_cop.html	(from http://www.memobio.fr/html/bact/ba_prel.html)
09:24:49	21965/21965	U-----	200	untouched ('OK')	text/html	etag:%22420dd641-55cd-4c7abe1a71080%22	http://www.memobio.fr/html/bact/ba_pr_age.html	www.memobio.fr/ba_pr_age.html	(from http://www.memobio.fr/html/bact/ba_prel.html)
09:24:49	23279/23279	U-----	200	untouched ('OK')	text/html	etag:%22420dd640-5aef-4c7abe1a71080%22	http://www.memobio.fr/html/bact/ba_pr_cbc.html	www.memobio.fr/ba_pr_cbc.html	(from http://www.memobio.fr/html/bact/ba_prel.html)
09:24:49	20896/20896	U-----	200	untouched ('OK')	text/html	etag:%22420dd642-51a0-4c7abe1a71080%22	http://www.memobio.fr/html/bact/ba_pr_cut.html	www.memobio.fr/ba_pr_cut.html	(from http://www.memobio.fr/html/bact/ba_prel.html)
09:24:49	20790/20790	U-----	200	untouched ('OK')	text/html	etag:%22420dd643-5136-4c7abe1b652c0%22	http://www.memobio.fr/html/bact/ba_pr_gor.html	www.memobio.fr/ba_pr_gor.html	(from http://www.memobio.fr/html/bact/ba_prel.html)
09:24:50	18931/18931	U-----	200	untouched ('OK')	text/html	etag:%22420dc5e6-49f3-4c7abe10e7a00%22	http://www.memobio.fr/html/bact/ba_an_sau.html	www.memobio.fr/ba_an_sau.html	(from http://www.memobio.fr/html/bact/ba_atb.html)
09:24:50	19059/19059	U-----	200	untouched ('OK')	text/html	etag:%22420dc5f1-4a73-4c7abe11dbc40%22	http://www.memobio.fr/html/bact/ba_an_str.html	www.memobio.fr/ba_an_str.html	(from http://www.memobio.fr/html/bact/ba_atb.html)
09:24:50	18956/18956	U-----	200	untouched ('OK')	text/html	etag:%22420dc5e5-4a0c-4c7abe11dbc40%22	http://www.memobio.fr/html/bact/ba_an_spn.html	www.memobio.fr/ba_an_spn.html	(from http://www.memobio.fr/html/bact/ba_atb.html)
09:24:50	18919/18919	U-----	200	untouched ('OK')	text/html	etag:%22420dc5ea-49e7-4c7abe0ff37c0%22	http://www.memobio.fr/html/bact/ba_an_enc.html	www.memobio.fr/ba_an_enc.html	(from http://www.memobio.fr/html/bact/ba_atb.html)
09:24:50	19235/19235	U-----	200	untouched ('OK')	text/html	etag:%22420dc5eb-4b23-4c7abe0ff37c0%22	http://www.memobio.fr/html/bact/ba_an_ent.html	www.memobio.fr/ba_an_ent.html	(from http://www.memobio.fr/html/bact/ba_atb.html)
09:24:50	18932/18932	U-----	200	untouched ('OK')	text/html	etag:%22420dc5f0-49f4-4c7abe10e7a00%22	http://www.memobio.fr/html/bact/ba_an_pae.html	www.memobio.fr/ba_an_pae.html	(from http://www.memobio.fr/html/bact/ba_atb.html)
09:24:50	18753/18753	U-----	200	untouched ('OK')	text/html	etag:%22420dc5e9-4941-4c7abe10e7a00%22	http://www.memobio.fr/html/bact/ba_an_hin.html	www.memobio.fr/ba_an_hin.html	(from http://www.memobio.fr/html/bact/ba_atb.html)
09:24:50	18747/18747	U-----	200	untouched ('OK')	text/html	etag:%22420dc5ee-493b-4c7abe10e7a00%22	http://www.memobio.fr/html/bact/ba_an_ngo.html	www.memobio.fr/ba_an_ngo.html	(from http://www.memobio.fr/html/bact/ba_atb.html)
09:24:50	18753/18753	U-----	200	untouched ('OK')	text/html	etag:%22420dc5ef-4941-4c7abe10e7a00%22	http://www.memobio.fr/html/bact/ba_an_nme.html	www.memobio.fr/ba_an_nme.html	(from http://www.memobio.fr/html/bact/ba_atb.html)
09:24:50	19079/19079	U-----	200	untouched ('OK')	text/html	etag:%22420dc5ec-4a87-4c7abe0ff37c0%22	http://www.memobio.fr/html/bact/ba_an_atb.html	www.memobio.fr/ba_an_atb.html	(from http://www.memobio.fr/html/bact/ba_atb.html)
09:24:50	18672/18672	U-----	200	untouched ('OK')	text/html	etag:%22420dd645-48f0-4c7abe197ce40%22	http://www.memobio.fr/html/bact/ba_pa_sye.html	www.memobio.fr/ba_pa_sye.html	(from http://www.memobio.fr/html/bact/ba_path.html)
09:24:50	20189/20189	U-----	200	untouched ('OK')	text/html	etag:%22420dd63e-4edd-4c7abe197ce40%22	http://www.memobio.fr/html/bact/ba_pa_syd.html	www.memobio.fr/ba_pa_syd.html	(from http://www.memobio.fr/html/bact/ba_path.html)
09:24:51	21993/21993	U-----	200	untouched ('OK')	text/html	etag:%22420dd625-55e9-4c7abe197ce40%22	http://www.memobio.fr/html/bact/ba_pa_sydi.html	www.memobio.fr/ba_pa_sydi.html	(from http://www.memobio.fr/html/bact/ba_path.html)
09:24:51	20509/20509	U-----	200	untouched ('OK')	text/html	etag:%22420dd648-501d-4c7abe197ce40%22	http://www.memobio.fr/html/bact/ba_pa_syi.html	www.memobio.fr/ba_pa_syi.html	(from http://www.memobio.fr/html/bact/ba_path.html)
09:24:51	26726/26726	U-----	200	untouched ('OK')	text/html	etag:%22420dd646-6866-4c7abe197ce40%22	http://www.memobio.fr/html/bact/ba_pa_syfi.html	www.memobio.fr/ba_pa_syfi.html	(from http://www.memobio.fr/html/bact/ba_path.html)
09:24:51	22953/22953	U-----	200	untouched ('OK')	text/html	etag:%22420dd649-59a9-4c7abe197ce40%22	http://www.memobio.fr/html/bact/ba_pa_ly.html	www.memobio.fr/ba_pa_ly.html	(from http://www.memobio.fr/html/bact/ba_path.html)
09:24:51	24610/24610	U-----	200	untouched ('OK')	text/html	etag:%22420dd63c-6022-4c7abe1e41980%22	http://www.memobio.fr/html/bact/ba_te_coss.html	www.memobio.fr/ba_te_coss.html	(from http://www.memobio.fr/html/bact/ba_tech.html)
09:24:51	25004/25004	U-----	200	untouched ('OK')	text/html	etag:%22420dd63b-61ac-4c7abe1d4d740%22	http://www.memobio.fr/html/bact/ba_te_chos.html	www.memobio.fr/ba_te_chos.html	(from http://www.memobio.fr/html/bact/ba_tech.html)
09:24:51	24389/24389	U-----	200	untouched ('OK')	text/html	etag:%22420dd638-5f45-4c7abe1f35bc0%22	http://www.memobio.fr/html/bact/ba_te_mac.html	www.memobio.fr/ba_te_mac.html	(from http://www.memobio.fr/html/bact/ba_tech.html)
09:24:51	24965/24965	U-----	200	untouched ('OK')	text/html	etag:%22420dd637-6185-4c7abe1e41980%22	http://www.memobio.fr/html/bact/ba_te_dri.html	www.memobio.fr/ba_te_dri.html	(from http://www.memobio.fr/html/bact/ba_tech.html)
09:24:51	25526/25526	U-----	200	untouched ('OK')	text/html	etag:%22420dd635-63b6-4c7abe211e040%22	http://www.memobio.fr/html/bact/ba_te_ss.html	www.memobio.fr/ba_te_ss.html	(from http://www.memobio.fr/html/bact/ba_tech.html)
09:24:51	24379/24379	U-----	200	untouched ('OK')	text/html	etag:%22420dd636-5f3b-4c7abe1f35bc0%22	http://www.memobio.fr/html/bact/ba_te_hek.html	www.memobio.fr/ba_te_hek.html	(from http://www.memobio.fr/html/bact/ba_tech.html)
09:24:51	24371/24371	U-----	200	untouched ('OK')	text/html	etag:%22420dd639-5f33-4c7abe1c59500%22	http://www.memobio.fr/html/bact/ba_te_cha.html	www.memobio.fr/ba_te_cha.html	(from http://www.memobio.fr/html/bact/ba_tech.html)
09:24:51	24375/24375	U-----	200	untouched ('OK')	text/html	etag:%22420dd63a-5f37-4c7abe1f35bc0%22	http://www.memobio.fr/html/bact/ba_te_gra.html	www.memobio.fr/ba_te_gra.html	(from http://www.memobio.fr/html/bact/ba_tech.html)
